threshold,recall,precision
0.64,0.14366729678638943,0.8351648351648352
0.645,0.14177693761814744,0.8333333333333334
0.65,0.1389413988657845,0.8305084745762712
0.655,0.13516068052930058,0.8313953488372093
0.66,0.13137996219281664,0.8373493975903614
0.665,0.12570888468809074,0.8364779874213837
0.67,0.12287334593572778,0.8496732026143791
0.675,0.12003780718336483,0.8466666666666667
0.68,0.11531190926275993,0.8472222222222222
0.685,0.10775047258979206,0.8382352941176471
0.69,0.10491493383742911,0.8345864661654135
0.695,0.10302457466918714,0.8515625
0.7,0.09735349716446125,0.8442622950819673
0.705,0.09546313799621928,0.8487394957983193
0.71,0.09357277882797732,0.8608695652173913
0.715,0.09168241965973535,0.8584070796460177
0.72,0.0888468809073724,0.8545454545454545
0.725,0.08695652173913043,0.8598130841121495
0.73,0.08223062381852551,0.8613861386138614
